"","WRKY18","WRKY40","WRKY_18_40","WRKY_18_18","WRKY_40_40","WRKY60","WRKY_60_60","RD29A"
"1",1,1,1,0,0,0,0,1
"2",1,1,0,1,0,0,0,0
"3",1,1,0,0,0,0,0,1
"4",1,1,1,1,1,0,0,0
"5",1,1,1,1,1,0,0,1
"6",1,1,1,1,1,0,1,1
"7",0,0,0,0,0,1,1,1
"8",0,0,0,0,0,0,0,1
"9",0,0,0,0,0,1,1,1
"10",0,0,0,0,0,0,0,1
"11",1,0,0,1,0,0,0,1
"12",0,0,0,0,0,0,0,1
"13",1,0,0,1,0,1,1,0
"14",1,0,1,1,0,1,1,0
"15",1,1,1,1,1,1,1,0
"16",1,1,1,0,1,0,0,0
"17",1,1,1,0,1,0,1,0
"18",1,1,1,1,1,0,0,0
"19",0,0,0,0,0,1,1,1
"20",0,0,1,0,0,1,1,1
"21",0,1,0,0,1,1,0,1
"22",0,0,1,0,0,0,1,1
"23",0,0,1,0,1,1,1,1
"24",0,0,1,0,0,1,0,1
"25",0,0,1,1,0,0,1,1
"26",1,1,1,1,1,0,0,1
"27",0,1,0,0,0,0,1,1
"28",1,1,1,1,1,0,0,0
"29",1,1,1,1,0,0,0,0
"30",0,1,0,0,1,0,0,1
"31",0,1,0,0,1,0,0,0
"32",0,1,0,0,1,1,1,0
"33",0,0,0,0,0,0,0,1
"34",0,0,0,0,0,0,0,1
"35",0,0,0,0,0,1,1,1
"36",0,0,0,0,0,0,0,1
"37",1,0,0,0,0,1,1,1
"38",1,0,0,0,1,0,0,0
"39",0,0,0,0,0,0,0,1
"40",0,1,0,0,1,0,0,1
"41",1,1,1,1,1,0,0,0
"42",0,1,1,0,1,0,0,0
"43",1,0,0,1,1,1,1,1
"44",1,1,1,1,1,1,1,0
"45",0,1,0,0,1,0,0,1
"46",0,1,0,0,1,0,0,0
"47",1,0,0,1,1,1,1,1
"48",0,0,0,0,0,1,1,0
"49",0,0,0,0,0,0,0,1
"50",0,0,0,0,0,0,0,1
"51",0,1,0,0,1,0,0,1
"52",0,0,0,0,0,1,1,1
"53",1,1,1,1,1,0,0,1
"54",0,1,1,0,1,0,0,1
"55",0,1,0,1,1,0,0,1
"56",1,1,1,1,1,0,0,1
"57",0,1,1,1,1,0,0,1
"58",0,1,0,0,1,0,0,1
"59",0,0,1,0,0,0,0,1
"60",1,0,0,1,0,1,1,0
"61",0,0,0,0,1,0,0,1
"62",0,0,1,1,0,1,0,0
"63",0,1,0,1,0,1,1,1
"64",0,1,0,0,0,1,1,1
"65",0,1,0,0,1,0,1,1
"66",0,1,1,0,1,0,0,1
"67",1,1,1,1,1,0,1,1
"68",0,1,0,0,1,0,0,1
"69",0,1,0,1,1,0,0,1
"70",1,1,1,1,0,1,1,0
"71",1,1,1,1,1,1,1,0
"72",0,0,0,0,0,0,0,1
"73",1,1,1,1,0,0,1,1
"74",1,1,1,1,1,1,0,0
"75",0,0,0,0,1,0,0,1
"76",0,0,0,0,0,0,0,1
"77",0,1,1,1,0,1,1,0
"78",0,1,0,0,1,1,1,0
"79",0,1,0,0,1,1,1,0
"80",0,1,0,0,1,1,0,0
"81",0,1,0,1,1,1,1,0
"82",0,1,0,0,1,1,0,0
"83",0,1,0,0,1,1,1,1
"84",0,1,1,0,0,1,1,1
"85",0,1,0,1,1,0,0,1
"86",0,1,0,0,1,0,1,1
"87",0,0,0,0,0,1,1,1
"88",0,0,0,1,0,0,0,1
"89",0,0,0,0,0,0,0,1
"90",0,0,0,1,0,1,1,1
"91",0,0,1,0,0,0,1,1
"92",0,0,0,0,0,0,0,1
"93",0,0,1,0,0,1,1,1
"94",0,0,0,0,1,1,0,1
"95",0,0,0,0,1,1,0,1
"96",1,0,0,1,1,1,1,1
"97",0,1,1,1,1,1,1,0
"98",0,1,0,0,1,1,1,0
"99",0,1,1,1,1,1,1,0
"100",0,1,0,1,1,1,1,0
"101",0,1,0,0,1,1,1,0
"102",0,1,0,0,1,0,0,0
"103",1,1,1,1,1,1,1,0
"104",0,1,1,0,1,1,1,1
"105",0,1,0,0,1,1,0,1
"106",0,1,0,0,1,1,1,1
"107",1,0,0,1,0,1,0,0
"108",0,1,0,0,1,0,0,0
"109",1,1,1,1,1,0,0,0
"110",1,1,1,0,1,1,1,0
"111",0,1,0,1,1,1,1,1
"112",0,1,1,0,0,1,1,1
"113",0,1,0,0,1,1,1,1
"114",0,1,0,1,0,1,1,1
"115",0,1,1,1,1,1,1,1
"116",0,1,0,0,0,1,1,1
